apartment_id,text_review,rating,author
338,Enflmatory management. Gaslighting disabled tenants. Repairs avoided for years some never fixed. Dangerous dwelling.,2,oo oo
338,"As the mother of a renter at Cesar Chavez, I am reporting on the experience of my disabled daughter.
John Stewart, owner of Cesar Chavez Plaza & king of cheap housing all over California, may be dead (Sept. 2020) but his dark philosophy of hassling renters, or at least: ignoring them, lives on. Apparently his approx 1300 selected employees stay because they're ok with enforcing his under the table rules.  RULES?  --- You're not going to get things fixed promptly. If your appliance breaks, expect them to bring in a limping one from another of their units.  If the manager at Cesar Chavez doesn't like you, she'll find reasons to write you up--and if you're on Sec 8 housing permit...this threatens your eligibility, i.e. your housing security. YET, there are tenants freely selling drugs, fighting/screaming, etc --police come periodically.

Rats are also tenants at Cesar Chavez. -----       Rats slide under the hot water heater closet door ( on her 2nd floor deck)then they lounge there in the sun, nibbling off the potted plants, waiting for the door into living room to open. Under Calif law, owner/manager is responsible for addressing unsanitary conditions: rat infestation, for example. This isn't happening, no matter how many complaints. Why doesn't daughter put a trap where hot water heater is? It's kept locked by manager.

Community spirit? The 'lockdown' wiped out Monday night gatherings of fellow renters, for a sit-down meal (supplied by local organizations). Thankfully, a new social worker has been hired and she (Lori/Laurie) is BEST thing going at Cesar Chavez apts...yet she's overworked.
If my disabled daughter had another option she would've moved months ago.",1,Kunzang R
338,"Would like to rate it zero stars solely on the management. Intrusive and hostile, the manager chases guests away with her broken engrish.",1,Cameron Laplace
338,"I live here.  Window  blinds on all window. Central Ac & heating, very quiet, very affordable.",5,Larry Yee
356,"I am moving out tomorrow after two years living here in a one-bedroom with my roommate. It's been a good experience!

The one-bedroom we are in is not the updated model, and the age shows, but it has been kept clean and well-maintained. My favorite part about this apartment is the storage space! There is a TON of storage space for a one-bedroom, which is really nice. The con to the apartment, and I think this may go for all the apartments, is the lack of natural light.

Management here is really friendly and is responsive to emails, and maintenance responds very quickly and does a great job. The complex is quiet and neighbors have been polite. One pro is that there is direct access to the Greenbelt, and there is a Unitrans bus stop right outside with a bus that comes every 15 minutes on weekdays (pre-COVID). It is expensive, but not more so than other apartments in Davis. Overall, I recommend!",5,J. Roberto
356,Management is super nice,5,Kanin Chuengsatiansup
356,,5,Wren Greaney
375,"Believe these reviews! If I could give it less than one-star I would. When I first considered moving here, I saw the bad reviews and thought “maybe it’s because it’s mostly angry people that write reviews, positive experiences are usually not vocalized”. I was very wrong. The location of this complex is in a dangerous area of Davis. My car was broken into over winter break. The apartment itself is stuffy and run down but literally painted over to make it look new, definitely just a way to put lipstick on a pig. Management was unresponsive and hostile. An example of this is, consistently changed the locks to “community resources” like the gym as a way to punish all residents for “taking equipment”. At the end of our stay we left the apartment spotless, no damage to the walls, floors, or amenities. They kept our security deposit and charged us an additional $200. When asked what the charges were they provided an itemized receipt of “work that was done on repairs”. They said this work was standard procedure for every resident that moves out. By that logic, do not expect to get your security deposit back. They will take it from you. As it customary, they will respond under this negative review, please do not be fooled by their performative professionalism. It is likely they will not change. Save yourself time, money, and grief.",1,Katelyn Magdaleno
375,"WOULD NOT RECOMMEND :)
One of the WORST management I have ever experienced. I think some of the fellow neighbours would agree too.

A few examples, managers are uncontactable, missing from the office or no answer email; constant miscommunication, they don’t read but rather reply the keywords by their guidelines, not even answering my questions and concerns; nonsense schedule on maintenance, they replace the locks of facility without informing us and we are responsible to make the effort for replacing a new set of keys. It happened 2-3 times during my whole stay in 2 years. Is my unit out of their service area or what? How can you “forget” every single time?; old equipment, I have never successfully used the printer once; ridiculous parking policy, Davis is known as a college town and students tend to leave town for holiday. However they often require a vehicle moving during the holiday. Have you ever considered about your customers? Apparently not.

I can go on and on, their management is bad. Don’t get me wrong, the worker/handy man are helpful and friendly. I just couldn’t bear with the way they manage.

Utilities are also expensive here, I paid almost the same price when I’m away for holiday the entire month. They have the breakdown and said it’s common share or something. I find that ridiculous.

If you think you can bear with a bad management, be my guest. It’s a nice quiet neighbourhood.",1,Lucas Chuk
375,"I lived here from July 2020 to June of 2023. At first glance, the one bedroom apartment was nice. However, on move in day it was clear the apartment hadn’t been cleaned, or prepped as promised. The AC was broken, and bathroom drawers were dirty. The apartment was also not the one I had been promised, and tiny. Of course this was back in 2020 so I did try to understand the lack of communication. I was in shock at how dark and small the one bedroom was, for the price they charged. I’m sure it’s even more now.

Throughout my three years at Ellington there was problem after problem. The bathroom has black mold, and they had to tear out the entire bathroom counter. But all they did was kind of clean it, then reattach the old piece which still had black mold on it. I truly believe many of my health issues that arose, was due to black mold that the magnet didn’t seem to care about fixing. Then our washer, dryer started leaking like crazy. They did replace that. But the washer/dryer system is crappy (once again for the price they are charging here).

We were good tenants, and paid rent on time every single month. When my partner and I finished college he got a job a few months earlier than planned. We tried to break the lease but they still charged us for the entirety of the lease agreement’s rent. Fine, but then to make matters worse they came up with a bunch of false charges when we moved out. I had already moved out of state, and traveled all the way back just to take care of the final walkthrough and checkout. Gabby, the man anger was beyond rude and condescending. She also is the one that came up with all of these bogus charges, we ended up owing money instead of getting our deposit back.

We left the place clean, and in good condition. The only charge I was expecting was for some carpet that had been damaged. Anyways, I felt scammed with the random charges that didn’t make sense at the end. I also felt like they ignored the black mold problem, and constant car break ins when I lived there. I got my catalytic converter stolen right in front of my apartment and had multiple other break ins after that. The management really did nothing even when I told them that the parking spaces were super dark and there needed to be more light or cameras. Oh, and parking is a joke. You get one spot assigned to you (that is paid for) but otherwise there was never any parking, and they’ll tow your car if it’s parked anywhere it’s not supposed to be for even 30 seconds.

Awful experience, and it’s like they slapped new paint and crappy vinyl wood flooring over moldy, old structures. Definitely wouldn’t reccomend this place to anybody, especially with how I was treated after being a good tenant for three years! What a joke.",1,Kristen Gewecke
375,"Arnold came to my apartment and promptly cleaned the shower, fixed the living room blinds and replaced the bedroom screen.Thank you!",5,Cheryl Hafer
375,"Living in Ellington was a pleasure for the 2 years I was there. I barely had any issues when moving in, and any I did have were taken care of quickly. No cleanliness issues upon moving in, everything was bug free.

Management was quick to respond to any emails or inquiries I had and showed genuine care for my concerns.

Vickie, Gabby, and Arnold were all excellent to rent from. I'd rent again if I ever moved back to Davis!",5,Branden Barnett
395,"I have lived here for about a year, and I am enjoying my experience! The office staff are very helpful and accomidating, and the aparemtments themselves are well kept and plesent to live in. The only reason I am giving this 4 stars, however, is that the walls are fairly thin here, so hearing your neighbors when they have gatherings is not uncommon. Other than that, living at University Square is great! Great location, reasonable pricing, and a nice facility overall.",4,Adenine Kao
395,"I have lived here for 1 year. The management staff are nice and efficient. The complex has a 24h our policy that keeps people quiet. If you are looking for a calm, college complex, this is a great place.",4,Antonio Cembellín Prieto
395,Both my girlfriend and I have tried calling this company for vital information and neither of our calls have ever been answered or returned.,1,Sean Derby
290,"Lived here for 6 years and really didn’t have any complaints! I regret not interacting more with other residents, as the complex is pretty quiet and peaceful. People usually are just minding their own business. Any interactions were always friendly though!

Management was very helpful and always timely on responding to questions. Tarri helped with our move out/lease buy out process so that we were able to get everything done in about 2 weeks. Very grateful for all of the help.

Take advantage of the amenities and interact with the front office and residents if you live here! Everyone is very nice. Great location and very cozy option.",5,Richard Jia
290,"I am currently abroad and due to some travel restrictions issues, I cannot return to the US in the near future. I want to end the lease with the apartment and pay a buyout fee. But the manager has been refusing to help me with the issue, and insisting that I have to pay all the rent until the end of August. That is 8 months of rent and a lot of money for me. I don’t understand how this apartment could be so greedy to make every bit of money from the tenants. They gave a ridiculous reason that buyout fee has to be paid in some specific form (money order) and not available from abroad. First of all, the contract never specified this requirement, and now they are making up terms and conditions by themselves. Secondly, they claim that I can pay all the 8 months of rent from abroad, but not the buyout fee. How is that logically possible? Thirdly, it is the management’s responsibility to assist with the tenant for the moving out process, and they don’t seem to understand that their job is to actually help tenants when issues arise, instead of sitting in the office and collecting money. It has been extremely difficult and frustrating to communicate with them, the manager seems reluctant to do their job to help me pay the buyout fee and move out. Please stay away from this management.",1,Y
290,"Living here was an absolute nightmare. We lasted only two months before we realized we had to get out for the sake of our mental well-being. The noise was relentless, with our upstairs neighbors hosting gatherings of 15 people or more, making it impossible to have any peace. To make things worse, sounds from other units traveled through the thin walls, so we could hear people having adult intimacy at all hours of the day, adding to the uncomfortable living environment.

The bathroom vents are all interconnected, meaning that if someone decided to hotbox their apartment, the smell would seep through the vents into our space, making it impossible to avoid. The entire building felt filthy, with dead cockroaches and even animal waste in the hallways—a clear sign of poor maintenance and disregard for basic cleanliness.

Our unit felt grimy and outdated, with an especially unpleasant bathroom. The tub appeared to have been sloppily painted over multiple times, and the cramped layout made it feel even more claustrophobic and dirty. On top of everything, we were told by management that trains wouldn’t be an issue at night, which was a flat-out lie. The trains stop and brake right outside the building around 11 PM, so sleep was often interrupted by the loud, jarring noise.

In short, this was a terrible experience from start to finish, and I’m incredibly relieved we were able to move to a place that actually feels livable.",1,noah fick
290,Stay away at all costs. New management is an absolute joke. Left me without bathroom electricity for over a year stating that the only way to fix it was to vacate me out until they could complete the repairs. I couldn’t afford to be relocated so it was never fixed. Almost two years go by and I ask to finally be vacated to allow me to move out of my horrible lease early. They refused and said the repairs could be done in a few hours. Finally I come to move out and they cancel my apartment portal preventing me from paying my final month of rent. The day they sent me my invoice they sent the amount to collections. I’ve never missed a payment and have fantastic credit so had I not seen through their scam there could have been major repercussions. They state the reason they sent it to collections was because my final statement was sitting in the mailbox I returned my keys to. Who sends important information to a mailbox that someone just turned over the keys for?! Overall the new staff is absolutely pathetic and this company needs to be investigated and be held accountable for how they are treating people. Everyone I made friends with in the apartments has since left and they are desperate for new tenants but beware and stay away at all costs!!,1,Wyatt Elmore
290,My mom is a senior citizen and doesn't use technology that often but she asked me to specifically get on here and leave a review for the maintenance staff at Academy Lane. She is very grateful for the quick response from the office staff(Tessla) and the maintenance staff at Academy Lne for repairing a broken window frame quickly(within a day).,5,Paul Morgan
291,"Honestly, I would give this place a four star if it wasn't for them raising the rent for housing. I would say, for the $1100 or so rent, the place is everything I'd expect and need. The atmosphere is nice, the noise isn't too bad, and the provided furniture + appliances are a great deal. I would also like to add that they have frequent events to boost the community experience. The main issue is that, for $1300, I could be living alone with a better layout, benefits, and exclusion of three other people living with me. I doubt a google review will change management's mind, but that price is outrageous.",3,Offline Market
291,so imagine giving out all your EV parking permits to non EVs. So me someone who has a EV but does not have a EV permit but instead have a normal parking permit (which is the same price as a EV permit) because they low key do not know what they are doing. And get ticketed for using the charger ( i pay for the electricity rates). THE PERMITS ARE THE SAME PRICE JUST LET ME USE THE EV CHARGERS. And theres always to many EV chargers are always half empty.,1,Kevin Do
291,"The worst apartment complex management in the area. Yes, they are new and shiney. But only people who desperately looking for housing, they end up living here. The lease documents are filled with spelling mistakes. Make unreasonable demands in these documents. False advertisement at its best.
The maintenance never does anything and do a half ass job at best. Hot water is constantly off with no explanation. They don't provide any safety to the tenants. I filled multiple complaints with nothing leading to any actions. Package gets lost, IT is a nightmare, multiple vandalism took place. The parking service is constantly giving people tickets even though we pay for parking.
People should really take legal actions against them. I know, I want to.",1,Farhana Sharmin
291,Just run. Worst experiences ever  for bad altitude of office and getting into waitlist for a parking spot for 3 months and receiving tickets for over $200. Imagine living in an apartment without parking spot. And the sound insulation was terrible two. Biggest scam of UC Davis housing.,1,Yunqi Zhao
291,"Moved here earlier this month after transitioning from an undergrad to a grad student. I only have positive things to say. The staff have been extremely welcoming and take care of any maintenance concerns in a prompt manner.

The studios may appear to be small, but if you get creative with the layout, they are actually quite spacious. I agree that the furniture that is provide is only the bare minimum, but I added a small futon and some accent pieces to bring the space together. Having all utilities included is a huge plus, though the rent is on the higher end. Overall, I look forward to the rest of my stay here.",4,Kaashvee Kumar
292,"I went for a tour of the property and established an 11 o'clock appointment time. The rental office was 15 minutes late to the appointment.

I had asked and expressed interest in a studio apartment and could only tour a 2 bedroom, 2 bathroom.

When I did my self-guided tour with the 15 extra minutes.  The apartment complex seems to look like a refurbished hotel that has been turned into an apartment complex. Many of the residents have garbage on their back porches, facing outdoors. The streets and many of the buildings paints look old and wet. The 3 story apartment complex smelled of mild mildew.

For 1850 a month with a trash and water bill of $105.  Pets were $80 deposit fee each. Additionally, as the complex is geared towards students, they are not allowing summer move ins.My short advice is go somewhere else.",2,Scott
292,it's cool to chill and i've had so many good memories here but they outpriced my friend sophia 😞,3,Sam Machtolff
292,"I've been a resident here for a while, having lived in three separate apartments at Lakeshore. I have nothing but good things to say. The rooms are a great size, with more closets than I know what to do with. My neighbors have always been really kind and the complex in general is pretty quiet. Although Davis is a college town, there's a great mix in demographic here, with some students, but with a lot of families, retirees, etc., as well. The property manager is very approachable and takes a genuine interest in her residents. While I haven't had too many maintenance requests, when I have, they've resolved the issue quickly and were mindful of my pets. Overall, I have to say that my UC Davis experience has been made better with Lakeshore and looking back, I would definitely live here again.",5,Phoenix Gaylor
292,The worst apartment management after the old manager left. Don’t live here you’re not going to get your deposit back🫥,1,Rona Z
292,,1,Zihao Wang
293,"Lived here for two year, moved in when they were switching companies, the house wasn’t even fully cleaned out when we moved in but can’t get in contact with the previous company who owned Avalon. One year later when our kitchen almost flooded, it took them three weeks to come over and check on us. Now after I have moved out, they are charging an unreasonable high move out cleaning fee and refusing to communicate with me, it has been two weeks since I sent an email to communicate about the fees. They are charging over $2000 to replace the carpet and the wall paintings. Unbelievable.",1,Jiawei Gao
293,"Pretty comfy apartment. Easy walk to Safeway and bus stop. With new management company in mid 2023 lots of turmoil. Now they seem to nickle and dime tenants with new fees for insurance, utilities, garbage and very strict about how and when rent is paid.",4,Howard Chuang
293,"It used to be the best apartment in Davis. Now I think it's one of the worst. The new management is really irresponsible. The management person likes to teach the tenant how to be a good person and not complaining, especially when you send an email to them just to ask for a normal maintenance.",1,Brandon
293,"Lived there for 3+ years. First, I will admit, location is nice and maintenance staff is great. However, pricing is outrageous: the whole unit is responsible for the rent so if you run into any problems with your roommates not paying rent, you're screwed since the office will not do anything. For those curious on their response to Covid: they did the bare minimum to help themselves, not the tenants. Also, I got charged for turnover fees $1000+ with no explanation why.",1,Jonathan Diep
293,"Property was bought by FPI Management from a local owner during Summer 22. New management sucks at being helpful in every way (non responsive on email and phone calls) and has told us explicitly to contact lawyers if we want to discuss anything. They also will only respond to emails regarding money. 2/10 only for location, overall would not recommend.",1,Bryan Wijaya
294,"loved living here! I do think I managed to get a good updated unit since the building is old and some units aren’t renewed but I am so happy living here and it is a great complex. The place is close to campus and trader joes and bus lines. They are also great with the pet policy, and my place was updated prior to my move in with new paint, new wood floors, and new carpet in the bedroom and closet. The dishwasher and other appliances are very great too. The unit is spacious and rent price is relatively great compared to places around. The new property manager Maria is very very helpful and responsive and prompt in responding to issues, and has made my experience very much improved lately.",5,Madawi Balushi
294,"It's priced too high, like all apartments in Davis. The apartments are small and old, they don't have central heat or air conditioning. The manager is nice, however it is standard operating procedure at this place to tell new tenants that their security deposits are partially non-refundable for cleaning costs, which is DEFINITELY against state law. It's across the street from a nice park and centrally located, but other than that, it doesn't have a whole lot going on for it.",3,Tamara Miller
294,This apartment complex is disgusting.  The man in charge of leasing is a slob.  The majority of the complex smells like cat urine and people have garbage piled up on their patios.,1,Jason Blake
294,"Old bu th clean, they allow pets, nice park across the street. Near shopping and college.",4,Angelina Gibbs
294,"I’ve lived here for three years, and overall, my experience has been great! Although it’s an older property, it’s well-maintained, and both management and maintenance are very responsive. The property manager, Tom, is fair and always quick to address any issues that come up.

However, my favorite part has to be the location. The property is in a quiet area, yet it’s very central—Trader Joe’s is within walking distance, campus is only five minutes away, and there are bus lines right in front of the property.

Overall would recommend!",5,Irvin Hernandez
295,"the new management team is taking things very seriously. the apartment complex has been upgraded in many ways. buildings are well kept and maintained, laundry facilities are app controlled without needing coins. the pool, gym and tennis court are all excellent. most importantly, neighbors are polite and friendly. I enjoy staying here very much.",5,K Chang
295,"Do Not Rent here, you will be miserable within a year. And probably sick. Slumlords, 100%. Paint over mold and retaliate for small service requests. Raise rent the full 10% allowed by law minus a few bucks, for strategic sake. Instead of keeping good tenants, they push them out through greed and incompetence -- many empty units losing them 1000s per month. Squat away!",1,Paul R
295,"Cockroaches when I moved in... took me ~2 months to mostly get rid of them.
Davis is expensive... try to find something else nevertheless

_________

Edit after moving out:
I left the unit in a very clean condition, the walls were in the same shape as when I moved in.... However, instead of returning the security deposit, they even want to charge me extra by cleaning again (definitely not needed) and painting the walls.

Instead of being a bad place to live, my feeling now is that the management is quite shady!
Can't give 0 stars...",1,Nicolaus kratochwil
295,"EDIT: we have been here since 2021 and at first the management was HORRIBLE and would do nothing but now that Jon Berkley has taken over it has been SO much better! They fixed the exterior of the buildings and are repairing the laundry facilities after getting multiple complaints. They really try their best to help the residents and I appreciate it so much. The actual apartments are old, so they arent the best. But the management is great now!!!

this apartment complex genuinely sucks. first of all, the washer and dryers have been broken for months and they have done nothing to repair them. second, the heater in my apartment doesnt work, the garbage disposer doesnt work, and there is a cockroach problem despite me being very clean! not to mention, when i moved in, the apartment wasnt even clean and they said they would take some money off our next rent and then when my dad brought it up, it never happened! literally so unprofessional and they do nothing to fix any problems. so entirely overpriced for what you get considering how worn out the apartments are, the amenities suck, and it’s just generally dirty. would love if they actually updated the washer/dryer rooms, maybe did some nice landscaping or SOMETHING to make this place even remotely nice. I also think its funny because they just posted all of these flyers to refer people and get money for it but never for ANY amount of money,  would i refer anyone that i even remotely like or care about to live here.",4,Veronica M.
295,"The apartments are cheaply made, old, not well kept, expensive and getting more expensive without any upgrades. They are squeezing every last drop out of their tenants who get poor maintenance, pest issues, car break ins, and broken water pipes at least once a month. If you can afford anything else, do not get stuck at this place! Management has changed constantly and we are having to re-sign leases if we want to prevent a major rent hike (1950 from 1750 or 1800 if agreeing to lease). They will show you a better apartment than you move into. I was shown a completely renovated apartment and given one with extremely old appliances, wood and counter damage, and peeling baseboards perfect for the roaches to hide under! From what I've seen around the area, any other complex is better maintained! I ended up here because I was moving from out of town for a school and was convinced the apartments would be the condition of what I was shown. Once your lease is signed and your away from your support network, your stuck in their dingy little apartments. Absolute last resort!!",1,Breana Juelch
296,"I toured this property recently with my daughter.  We absolutely loved what they were offering and signed a lease almost immediately!  Kennedy did our tour and she was incredible, she really made me feel like I was leaving my baby girl in good hands. Sad Dad, but 10/10!",5,Zachary Dodson
296,"Living at The U has been amazing.

The office staff are very welcoming and responsive to my questions and concerns. The maintenance team responds quickly to issues in and outside of my unit when brought to their attention.

Overall this has been a very welcoming experience, I will be renewing my lease!",5,Khari Reichling
296,"The U has a great location, amazing amenities, and an excellent staff! Kennedy answered all my questions and was so pleasant to deal with. I thoroughly enjoyed my time at The U and think it's the best place to live in Davis!",5,Varsity Ann Arbor
296,"This place is absolutely beautiful! They have great amenities, a wonderful location and the best staff in Davis, CA! Kennedy Cooks showed me around the property and was so friendly and knowledgeable. She was pleasant, informative, and answered all of my questions. If you attend UC Davis and are looking for housing, The U is where you need to start.",5,Justin Pierce
296,"They are crooks that prey on college students.   Yes, your stay there will be nice, but beware of when you move out.  They will try to charge you for things that aren’t needed and they will refuse to show you proof of damages.   It’s so bad and disrespectful to treat college students like this.  They are young and learning the ways of the world.  So if you want to teach your kids what NOT to do and how to treat people poorly, then let them stay here.   Crooks all around.
If you do choose to stay here, take photos of EVERYTHING before you move in.  Walls, ceilings, floors, cabinets, kitchen, everything you can think of.  Demand a walkthrough with them before you move in.   When you move out, demand a walkthrough with them again and make sure you bring your photos or they will deny everything.  The lease is a joke.  They say “reasonable wear and tear” but it’s so arbitrary that they will force you to pay to repaint the whole apartment, even if you don’t leave any holes or marks on the wall.   It’s not our responsibility to pay for the routine maintenance for the next tenant.  That’s part of the property owner’s cost of doing business.
Just BEWARE of hidden fees and BS charges when you move out.  They are crooks!",1,Tom
297,"Love the way they feed all of us at the apartment complexes throughout the year. We have BBQ's, Chili feeds, Holiday Parties and they give away iPad Pros, Gift certificates, Echoes... on and on!  I live at Fountain Circle and have friends at Aggie Square and Almondwood Apartments.  Cleanest apartments and best managers ever.",5,Geri
297,The people who work here are fantastic! The way they care for their residents is unmatched by any other organization near or far.,5,Sara Pesola
297,As father of college kids and realtor this is the Management Company to work with.,5,Team Skaggs Real Estate Group
297,,5,Juan Winstead
297,,5,Kimberly B
298,"I have lived here comfortably and enjoyed my time in this place. Mr. Tom always responded quickly to maintenance requests and resolved issues cooperatively. Above all, it was a safe residence. I was particularly satisfied with how well the garden, trees, and overall environment were maintained. The location was excellent, not only being near the greenbelt but also close to a community park, library, and schools, which made it a happy place for our children as well.",5,H. -Angella
298,"We lived at Alvarado Parkside for almost 4 years. We loved the location--close to the Davis green belt and grocery stores and just a few minutes drive from downtown and the UCD campus. The onsite managers, Izzy and then Jessica, were great. Good communication, very responsive, respectful, and pleasant to work with. Maintenance team was also very responsive every time we needed something addressed.

Ultimately, we decided to move out due to the following factors that you may want to consider before moving here:

- The buildings are dated, not insulated, and the windows have not been updated. As a result, there was very little insulation and drastic temperature swings between summer and winter. The AC and heating had trouble keeping the place comfortable, and our electricity bill in summer and winter would average almost $250/month, even while we were trying to conserve our use AC/heat use. In summer, we slept with ice packs on our bodies to stay cool and try to sleep.  The landlord doesn’t allow space heaters. We heard from multiple other tenants that their electricity bill exceeded $400/month at times. This was the primary reason we decided to move out into a newer and more modern place, which, after all costs accounted for, is costing us less per month to rent.

-The landlord’s (Tom) communication skills could be improved. Requests to the community through emails came off as threats rather than respectful requests. We’ve also come across Tom yelling at his maintenance personnel and property manager on multiple occasions. I recommend reading some more recent reviews on Yelp.

-Make sure to do a walk-through inspection before you move out if you want any part of your security deposit back. Heard from others that they got $5 of their deposit back after they deep cleaned their unit and followed all check-out procedures before moving out, so we made sure to schedule a walk-through and came to an agreement of how much of our security deposit we would get back.

-The free wifi through Instaconnect was pretty spotty. We got our own wifi.

-Hot water was spotty. Water for showering was lukewarm from around 11am – 5 pm each day.

-The bathrooms had little ventilation (no window, vent fan was weak), so the ceiling was prone to mold and mildew. We got a dehumidifier to help keep the bathroom dry.

-We could hear traffic and sirens on Covell every day. Wouldn’t recommend if you are looking for a quiet place.

Overall, we would not recommend Alvarado Parkside.",2,Sophia C
298,"I have been here for a few months and have been impressed so far!

Pros:

Onsite management has been very responsive and helpful, thank you, Jessica! Star Crossed Properties and Tom were straightforward to work out a lease contract with. The process felt transparent and honest compared to other management companies I've considered in Davis. Management overall feels more respectful than other places I've rented from in Davis.

Noticed this property has been well cared for compared to nearby options with similarly aged buildings. Quick to respond to maintenance requests. Laundry room is clean and affordable compared to other properties in Davis.

Extra amenities such as the garden plots, communal park areas, and pool are lovely to have and well maintained.

Cons:

Price is high, but that really applies to all of Davis. I cannot deny the quality of management here, and that it's cost is in line with other options in Davis but provides a better experience than other options.

The onsite Wi-Fi provided by ""Instaconnect"" has been spotty and unresponsive to customer service requests, but this is not Star Crossed Properties fault. The responsibility falls mostly on Instaconnect to maintain their infrastructure better.

Summary:

I love Alvarado Parkside Apartments, so far it's been a great experience overall! I may update this review in the future as my Tenancy continues here. Looking forward to the rest of the year!",5,Mikayla Miller
298,"I have lived here more than a year and I think Alvarado Parkside is a great place to live in Davis.
It is quiet and the site manager and the management team are very responsive and helpful whenever I ask for help. When the time comes to fix or repair, Jessica, the site manager is very quick and responsive to solve the issues. It makes me very comfortable and relieved. Alvarado Parkside is close to UC Davis, grocery stores, coffee shops and pharmacies.",5,Susan Baik
298,The property manager Jessica has been very wonderful and helpful with any questions I’ve had and made my move in process easy.,5,Elias Marquez
299,"Overall, I really love these apartments! It's a very nice area with a lot of greenery and maintenence is really well kept. They're really on top of any problems you may have and do their best to fix it. They also do events for the tenants and overall it's a great community.",5,Sammy B
299,"I love living at Greystone! I'm renewing for my third year right now. It's spacious (especially the kitchen), they're very quick with repairs, and they have in-unit laundry + parking! I've visited many of my friend's apartments and out of all the ones I've been to, this is definitely the best place for its price point.",5,Ai Lien Nguyen
299,"I've had a wonderful experience living in this apartment complex. The management team is friendly and responsive, and the maintenance staff is always prompt and efficient. The amenities are great, and the location is convenient. Overall, I highly recommend this place for anyone looking for a comfortable and hassle-free living experience.",5,Alexander Mendoza
